Episode reward
8.0
12.0
10.0
10.0
9.0
13.0
12.0
10.0
9.0
10.0
10.0
9.0
10.0
11.0
10.0
9.0
9.0
10.0
9.0
10.0
14.0
14.0
11.0
13.0
12.0
10.0
10.0
9.0
10.0
10.0
11.0
10.0
10.0
10.0
10.0
11.0
8.0
8.0
9.0
10.0
10.0
12.0
9.0
10.0
10.0
12.0
10.0
9.0
11.0
11.0
12.0
10.0
9.0
12.0
12.0
8.0
11.0
10.0
11.0
10.0
10.0
10.0
9.0
11.0
10.0
10.0
10.0
10.0
11.0
11.0
10.0
9.0
9.0
9.0
10.0
8.0
10.0
9.0
9.0
11.0
10.0
9.0
10.0
9.0
9.0
10.0
10.0
10.0
8.0
9.0
9.0
11.0
9.0
10.0
11.0
11.0
13.0
13.0
14.0
11.0
8.0
10.0
14.0
8.0
9.0
12.0
10.0
10.0
10.0
9.0
12.0
9.0
11.0
10.0
9.0
9.0
9.0
9.0
8.0
10.0
10.0
9.0
10.0
10.0
10.0
11.0
9.0
10.0
11.0
23.0
9.0
13.0
14.0
9.0
10.0
9.0
10.0
12.0
93.0
47.0
63.0
59.0
65.0
43.0
48.0
47.0
71.0
119.0
72.0
172.0
81.0
89.0
81.0
127.0
259.0
144.0
247.0
162.0
280.0
178.0
175.0
126.0
192.0
140.0
177.0
227.0
176.0
1101.0
1840.0
67.0
12.0
9.0
10.0
1482.0
